nome_completo_do_carro,ano_de_venda,preco_de_venda_USD,kilometragem,tipo_combustivel,tipo_do_vendedor,transmissao,dono,consumo_do_combustivel_kmpl,motor_CC,potencia_do_motor_bhp,assentos,Marca
Maruti Swift Dzire VDI,2014,6164.38,145500,Diesel,Individual,Manual,1º dono,23.4,1248.0,74.0,5.0,Maruti
Skoda Rapid 1.5 TDI Ambition,2014,5068.49,120000,Diesel,Individual,Manual,2º dono,21.14,1498.0,103.52,5.0,Skoda
Honda City 2017-2020 EXi,2006,2164.38,140000,Gasolina,Individual,Manual,3º dono,17.7,1497.0,78.0,5.0,Honda
Hyundai i20 Sportz Diesel,2010,3082.19,127000,Diesel,Individual,Manual,1º dono,23.0,1396.0,90.0,5.0,Hyundai
Maruti Swift VXI BSIII,2007,1780.82,120000,Gasolina,Individual,Manual,1º dono,16.1,1298.0,88.2,5.0,Maruti
Hyundai Xcent 1.2 VTVT E Plus,2017,6027.4,45000,Gasolina,Individual,Manual,1º dono,20.14,1197.0,81.86,5.0,Hyundai
Maruti 800 DX BSII,2001,616.44,5000,Gasolina,Individual,Manual,2º dono,16.1,796.0,37.0,4.0,Maruti
Toyota Etios VXD,2011,4794.52,90000,Diesel,Individual,Manual,1º dono,23.59,1364.0,67.1,5.0,Toyota
Ford Figo Diesel Celebration Edition,2013,2739.73,169000,Diesel,Individual,Manual,1º dono,20.0,1399.0,68.1,5.0,Ford
Renault Duster 110PS Diesel RxL,2014,6849.32,68000,Diesel,Individual,Manual,2º dono,19.01,1461.0,108.45,5.0,Renault
Maruti Zen LX,2005,1260.27,100000,Gasolina,Individual,Manual,2º dono,17.3,993.0,60.0,5.0,Maruti
Maruti Swift Dzire VDi,2009,3835.62,140000,Diesel,Individual,Manual,2º dono,19.3,1248.0,73.9,5.0,Maruti
Maruti Wagon R LXI Minor,2009,2465.75,90000,Gasolina,Individual,Manual,2º dono,18.9,1061.0,67.0,5.0,Maruti
Mahindra KUV 100 mFALCON G80 K8 5str,2016,5479.45,40000,Gasolina,Individual,Manual,1º dono,18.15,1198.0,82.0,5.0,Mahindra
Maruti Ertiga SHVS VDI,2016,10657.53,70000,Diesel,Individual,Manual,2º dono,24.52,1248.0,88.5,7.0,Maruti
Hyundai i20 1.4 CRDi Asta,2012,6849.32,53000,Diesel,Individual,Manual,2º dono,23.0,1396.0,90.0,5.0,Hyundai
Maruti Alto LX,2002,2054.79,80000,Gasolina,Individual,Manual,2º dono,19.7,796.0,46.3,5.0,Maruti
Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,9315.07,100000,Diesel,Individual,Manual,1º dono,22.54,1396.0,88.73,5.0,Hyundai
Mahindra Verito 1.5 D4 BSIII,2011,2383.56,100000,Diesel,Individual,Manual,2º dono,21.0,1461.0,64.1,5.0,Mahindra
Honda WR-V i-DTEC VX,2017,13013.7,50000,Diesel,Individual,Manual,1º dono,25.5,1498.0,98.6,5.0,Honda
Maruti Swift Dzire ZDI,2015,7191.78,40000,Diesel,Individual,Manual,1º dono,26.59,1248.0,74.0,5.0,Maruti
Maruti SX4 ZDI,2012,8219.18,72000,Diesel,Individual,Manual,1º dono,21.5,1248.0,88.8,5.0,Maruti
Tata Tigor 2017-2020 XZ,2018,6849.32,35000,Gasolina,Individual,Manual,1º dono,20.3,1199.0,83.81,5.0,Tata
Maruti Baleno Delta 1.2,2016,7876.71,45000,Gasolina,Individual,Manual,1º dono,21.4,1197.0,83.1,5.0,Maruti
Maruti Alto 800 LXI,2017,3767.12,28000,Gasolina,Individual,Manual,1º dono,24.7,796.0,47.3,5.0,Maruti
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,4109.59,70000,Diesel,Individual,Manual,1º dono,18.2,1248.0,73.8,7.0,Chevrolet
Maruti Wagon R LXI Minor,2009,3013.7,120000,Gasolina,Individual,Manual,1º dono,18.9,1061.0,67.0,5.0,Maruti
Maruti Omni E MPI STD BS IV,2018,3493.14,25000,Gasolina,Individual,Manual,1º dono,16.8,796.0,34.2,8.0,Maruti
Maruti Vitara Brezza LDi Option,2017,9178.08,70000,Diesel,Individual,Manual,1º dono,24.3,1248.0,88.5,5.0,Maruti
Maruti Omni 8 Seater BSIV,2012,2054.79,35000,Gasolina,Individual,Manual,2º dono,14.0,796.0,35.0,5.0,Maruti
Hyundai i20 1.2 Asta Dual Tone,2018,10000.0,2388,Gasolina,Individual,Manual,1º dono,18.6,1197.0,81.83,5.0,Hyundai
Maruti Vitara Brezza LDi,2017,8904.11,16200,Diesel,Individual,Manual,1º dono,24.3,1248.0,88.5,5.0,Maruti
Maruti Alto K10 VXI Airbag,2019,5013.7,15000,Gasolina,Individual,Manual,1º dono,23.95,998.0,67.1,5.0,Maruti
Hyundai Verna VTVT 1.6 SX Option,2019,15739.73,5000,Gasolina,Individual,Manual,1º dono,17.0,1591.0,121.3,5.0,Hyundai
Datsun GO D,2016,2054.79,42000,Gasolina,Individual,Manual,1º dono,20.63,1198.0,67.0,5.0,Datsun
Tata Safari DICOR 2.2 LX 4x2,2011,5821.92,60000,Diesel,Individual,Manual,2º dono,13.93,2179.0,138.03,7.0,Tata
Maruti 800 Std,2012,2054.79,76000,Gasolina,Individual,Manual,1º dono,16.1,796.0,37.0,4.0,Maruti
Jeep Compass 1.4 Limited Plus BSIV,2019,28767.12,5000,Gasolina,Individual,Automatico,1º dono,16.0,1368.0,160.77,5.0,Jeep
Honda City i VTEC VX,2018,12671.23,28900,Gasolina,Distribuidora,Manual,1º dono,17.8,1497.0,117.3,5.0,Honda
Honda City V MT,2013,5821.92,86300,Gasolina,Distribuidora,Manual,1º dono,16.8,1497.0,116.3,5.0,Honda
Maruti Swift Dzire VXi AT,2018,9246.58,23300,Gasolina,Distribuidora,Automatico,1º dono,18.5,1197.0,83.14,5.0,Maruti
Maruti Vitara Brezza VDi,2018,11232.86,32600,Diesel,Distribuidora,Manual,1º dono,24.3,1248.0,88.5,5.0,Maruti
Maruti Alto K10 VXI,2018,5342.47,10300,Gasolina,Distribuidora,Manual,1º dono,23.95,998.0,67.05,5.0,Maruti
Toyota Fortuner 4x4 MT,2014,20547.95,77000,Diesel,Distribuidora,Manual,1º dono,12.55,2982.0,168.5,7.0,Toyota
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,9589.04,99000,Diesel,Distribuidora,Manual,1º dono,12.99,2494.0,100.0,7.0,Toyota
Mercedes-Benz B Class B180,2014,19863.01,27800,Diesel,Distribuidora,Automatico,2º dono,14.8,2143.0,120.7,5.0,Mercedes-Benz
Honda Amaze S Diesel,2015,5821.92,49800,Diesel,Distribuidora,Manual,1º dono,24.7,1498.0,98.63,5.0,Honda
Mitsubishi Pajero Sport 4X4,2013,14931.51,151000,Diesel,Distribuidora,Manual,1º dono,13.5,2477.0,175.56,7.0,Mitsubishi
Honda City i DTEC S,2015,8219.18,54700,Diesel,Distribuidora,Manual,1º dono,26.0,1498.0,98.6,5.0,Honda
Maruti Ciaz Zeta,2018,11643.84,64000,Gasolina,Distribuidora,Manual,1º dono,20.65,1462.0,103.25,5.0,Maruti
Honda Jazz VX Diesel,2015,7191.78,63000,Diesel,Distribuidora,Manual,1º dono,27.3,1498.0,98.6,5.0,Honda
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,22602.74,127700,Diesel,Distribuidora,Automatico,2º dono,11.36,2755.0,171.5,7.0,Toyota
Toyota Innova 2.5 G (Diesel) 7 Seater,2016,13013.7,99000,Diesel,Distribuidora,Manual,1º dono,12.99,2494.0,100.6,7.0,Toyota
Audi A6 2.0 TDI Technology,2013,23972.6,33900,Diesel,Distribuidora,Automatico,2º dono,17.68,1968.0,174.33,5.0,Audi
Toyota Corolla Altis 1.8 VL CVT,2018,21780.82,25000,Gasolina,Distribuidora,Automatico,1º dono,14.28,1798.0,138.03,5.0,Toyota
Audi A6 2.0 TDI  Design Edition,2013,23150.67,50000,Diesel,Distribuidora,Automatico,1º dono,18.53,1968.0,187.74,5.0,Audi
Mercedes-Benz New C-Class 220 CDI AT,2013,19520.55,59000,Diesel,Distribuidora,Automatico,1º dono,14.84,2143.0,170.0,5.0,Mercedes-Benz
Tata Manza ELAN Quadrajet BS IV,2011,3630.14,120000,Diesel,Individual,Manual,1º dono,21.12,1248.0,88.8,5.0,Tata
Hyundai i10 Magna,2011,2602.74,110000,Gasolina,Individual,Manual,3º dono,20.36,1197.0,78.9,5.0,Hyundai
Hyundai i20 Asta 1.4 CRDi,2013,5821.92,60000,Diesel,Individual,Manual,1º dono,21.27,1396.0,88.76,5.0,Hyundai
Maruti Swift Dzire ZDI,2015,8630.14,147000,Diesel,Individual,Manual,2º dono,26.59,1248.0,74.0,5.0,Maruti
Ford Figo 1.2P Titanium MT,2017,8219.18,25000,Gasolina,Individual,Manual,3º dono,18.16,1196.0,86.8,5.0,Ford
Maruti Baleno Delta 1.2,2019,8904.11,30000,Gasolina,Individual,Manual,1º dono,21.4,1197.0,83.1,5.0,Maruti
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,7397.26,40000,Diesel,Individual,Manual,1º dono,22.0,1498.0,108.495,5.0,Volkswagen
Honda City i DTEC VX,2015,8630.14,135000,Diesel,Individual,Manual,1º dono,25.1,1498.0,98.6,5.0,Honda
Maruti Wagon R AMT VXI,2018,6136.99,30000,Gasolina,Individual,Automatico,1º dono,20.51,998.0,67.0,5.0,Maruti
Volkswagen Ameo 1.5 TDI Comfortline,2017,6849.32,80000,Diesel,Individual,Manual,1º dono,21.66,1498.0,108.62,5.0,Volkswagen
Maruti Vitara Brezza VDi,2016,10205.48,70000,Diesel,Individual,Manual,1º dono,24.3,1248.0,88.5,5.0,Maruti
Maruti Vitara Brezza ZDi Plus AMT,2019,14041.1,9850,Diesel,Individual,Automatico,1º dono,24.3,1248.0,88.5,5.0,Maruti
Hyundai i10 Magna,2011,3219.18,60000,Gasolina,Individual,Manual,2º dono,20.36,1197.0,78.9,5.0,Hyundai
Maruti Swift VDI Deca,2016,8630.14,70000,Diesel,Individual,Manual,1º dono,25.2,1248.0,74.0,5.0,Maruti
Toyota Fortuner 4x4 MT,2015,23287.67,78000,Diesel,Individual,Manual,2º dono,12.55,2982.0,168.5,7.0,Toyota
Maruti Swift Star VDI,2013,6164.38,120000,Diesel,Individual,Manual,2º dono,22.9,1248.0,74.0,5.0,Maruti
Maruti Ertiga ZXI,2012,6164.38,120000,Gasolina,Individual,Manual,2º dono,16.02,1373.0,93.7,7.0,Maruti
Volkswagen Vento Diesel Highline,2013,6164.38,170000,Diesel,Individual,Manual,1º dono,20.54,1598.0,103.6,5.0,Volkswagen
Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,16438.36,140000,Diesel,Individual,Manual,1º dono,12.99,2494.0,100.6,8.0,Toyota
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,8356.16,90000,Diesel,Individual,Manual,1º dono,22.77,1498.0,98.59,5.0,Ford
BMW X1 sDrive20i xLine,2016,34246.58,30000,Gasolina,Individual,Automatico,2º dono,15.71,1998.0,189.0,5.0,BMW
Maruti Celerio ZXI MT BSIV,2017,6643.82,10000,Gasolina,Distribuidora,Manual,1º dono,23.1,998.0,67.04,5.0,Maruti
Datsun GO A Petrol,2016,3767.12,49000,Gasolina,Distribuidora,Manual,1º dono,19.02,1198.0,67.05,5.0,Datsun
Maruti Alto 800 VXI BSIV,2016,4315.07,32000,Gasolina,Distribuidora,Manual,1º dono,24.7,796.0,47.3,5.0,Maruti
Maruti Alto 800 LXI BSIV,2016,3767.12,38000,Gasolina,Distribuidora,Manual,1º dono,24.7,796.0,47.3,5.0,Maruti
Hyundai i10 Era 1.1,2012,3972.6,28000,Gasolina,Distribuidora,Manual,1º dono,19.81,1086.0,68.05,5.0,Hyundai
Maruti Omni 8 Seater BSIV,2017,3835.62,32000,Gasolina,Distribuidora,Manual,1º dono,14.0,796.0,35.0,5.0,Maruti
Volkswagen Polo 1.2 MPI Comfortline,2015,6232.88,42000,Gasolina,Distribuidora,Manual,1º dono,16.47,1198.0,74.0,5.0,Volkswagen
Hyundai i10 Magna 1.1L,2015,4808.22,45000,Gasolina,Distribuidora,Manual,2º dono,19.81,1086.0,68.05,5.0,Hyundai
Volkswagen Vento Petrol Highline,2012,7328.77,12000,Gasolina,Distribuidora,Manual,2º dono,15.04,1598.0,103.6,5.0,Volkswagen
Maruti Zen Estilo LXI BSIII,2009,2397.26,55500,Gasolina,Distribuidora,Manual,1º dono,18.2,998.0,67.1,5.0,Maruti
Hyundai i20 Asta Optional with Sunroof 1.2,2013,7191.78,61500,Gasolina,Distribuidora,Manual,1º dono,18.5,1197.0,82.85,5.0,Hyundai
Maruti Swift Dzire LDI,2016,8219.18,150000,Diesel,Individual,Manual,1º dono,26.59,1248.0,74.0,5.0,Maruti
Hyundai Xcent 1.2 Kappa SX Option AT,2016,7739.73,72000,Gasolina,Distribuidora,Automatico,1º dono,19.1,1197.0,82.0,5.0,Hyundai
Maruti Alto LX BSIII,2008,1643.84,68000,Gasolina,Distribuidora,Manual,3º dono,19.7,796.0,46.3,5.0,Maruti
Hyundai i20 1.4 Asta Option,2017,9931.51,110000,Diesel,Individual,Manual,1º dono,22.54,1396.0,88.73,5.0,Hyundai
Maruti Wagon R VXI,2009,2534.25,77000,Gasolina,Distribuidora,Manual,2º dono,21.79,998.0,67.05,5.0,Maruti
Tata Manza Aura (ABS) Quadrajet,2010,2739.73,100000,Diesel,Individual,Manual,2º dono,18.8,1248.0,90.0,5.0,Tata
Maruti Swift VXI,2019,8424.66,10000,Gasolina,Individual,Manual,1º dono,21.21,1197.0,81.8,5.0,Maruti
Maruti Eeco 7 Seater Standard BSIV,2016,3698.63,100000,Gasolina,Individual,Manual,3º dono,15.37,1196.0,73.0,7.0,Maruti
Maruti Baleno Zeta 1.2,2018,8356.16,35000,Gasolina,Individual,Manual,1º dono,21.4,1197.0,83.1,5.0,Maruti
Mahindra Scorpio VLX AT AIRBAG BSIV,2014,8561.64,70000,Diesel,Individual,Automatico,2º dono,11.79,2179.0,120.0,8.0,Mahindra
Ford Freestyle Titanium Petrol BSIV,2020,5479.45,5000,Gasolina,Individual,Manual,2º dono,19.0,1194.0,94.68,5.0,Ford
Hyundai Verna VTVT 1.6 SX,2017,11863.01,37800,Gasolina,Individual,Manual,1º dono,17.0,1591.0,121.3,5.0,Hyundai
Volkswagen Passat 1.8 TSI MT,2010,9589.04,114000,Gasolina,Individual,Manual,1º dono,14.3,1798.0,160.0,5.0,Volkswagen
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,2010,4109.59,48000,Gasolina,Individual,Manual,1º dono,15.8,1172.0,65.0,5.0,Tata
Mahindra XUV500 W11 Option AWD,2019,23287.67,32000,Diesel,Individual,Manual,1º dono,15.1,2179.0,155.0,7.0,Mahindra
Tata Indigo CS LS (TDI) BS-III,2016,5136.99,100000,Diesel,Individual,Manual,1º dono,19.09,1405.0,69.01,5.0,Tata
Hyundai Verna 1.6 SX,2013,7150.68,150000,Diesel,Individual,Manual,2º dono,22.32,1582.0,126.32,5.0,Hyundai
Hyundai i20 Magna 1.4 CRDi (Diesel),2013,6191.77,69000,Diesel,Individual,Manual,1º dono,21.9,1396.0,88.76,5.0,Hyundai
Toyota Corolla Altis G,2009,4109.59,100000,Gasolina,Individual,Manual,2º dono,14.53,1798.0,138.1,5.0,Toyota
Maruti Celerio VXI,2020,6506.85,13000,Gasolina,Individual,Manual,1º dono,21.63,998.0,67.04,5.0,Maruti
Maruti Vitara Brezza ZDi Plus Dual Tone,2016,10684.93,60000,Diesel,Individual,Manual,1º dono,24.3,1248.0,88.5,5.0,Maruti
Maruti Swift Dzire VXI,2017,8150.68,40000,Gasolina,Individual,Manual,1º dono,20.85,1197.0,83.14,5.0,Maruti
Maruti Wagon R VXI BS IV,2017,6027.4,35000,Gasolina,Individual,Manual,1º dono,20.51,998.0,67.04,5.0,Maruti
Nissan Terrano XL 85 PS,2014,5479.45,70000,Diesel,Individual,Manual,3º dono,20.45,1461.0,83.8,5.0,Nissan
Hyundai Creta 1.6 CRDi SX,2016,15616.44,50000,Diesel,Individual,Manual,1º dono,19.67,1582.0,126.2,5.0,Hyundai
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,11643.84,76139,Diesel,Individual,Manual,1º dono,23.0,1498.0,98.96,5.0,Ford
Maruti Swift Dzire VDi,2012,5068.49,175000,Diesel,Individual,Manual,4º dono e acima,19.3,1248.0,73.9,5.0,Maruti
Renault KWID 1.0,2018,4794.52,25000,Gasolina,Individual,Manual,1º dono,23.01,999.0,67.0,5.0,Renault
Maruti Celerio VXI,2015,4931.51,40000,Gasolina,Individual,Manual,2º dono,23.1,998.0,67.04,5.0,Maruti
Maruti Alto LXi,2008,1438.36,65000,Gasolina,Individual,Manual,4º dono e acima,19.7,796.0,46.3,5.0,Maruti
Maruti Ertiga VDI,2013,8561.64,90000,Diesel,Individual,Manual,2º dono,20.77,1248.0,88.76,7.0,Maruti
Hyundai Santro Xing GLS,2009,1849.32,80000,Gasolina,Individual,Manual,2º dono,17.92,1086.0,62.1,5.0,Hyundai
Maruti Ertiga VDI,2015,9589.04,110000,Diesel,Individual,Manual,2º dono,20.77,1248.0,88.76,7.0,Maruti
Honda Amaze S i-VTEC,2019,9452.05,1303,Gasolina,Distribuidora,Manual,1º dono,17.8,1198.0,86.7,5.0,Honda
Audi Q5 35TDI Premium Plus,2018,54452.05,31800,Diesel,Distribuidora,Automatico,1º dono,17.01,1968.0,188.0,5.0,Audi
Lexus ES 300h,2019,70547.95,20000,Gasolina,Distribuidora,Automatico,1º dono,22.37,2487.0,214.56,5.0,Lexus
Jaguar XF 2.0 Diesel Portfolio,2017,43835.62,45000,Diesel,Distribuidora,Automatico,1º dono,19.33,1999.0,177.0,5.0,Jaguar
Jeep Wrangler 2016-2019 3.6 4X4,2017,56164.38,17000,Gasolina,Individual,Automatico,1º dono,9.5,3604.0,280.0,5.0,Jeep
Land Rover Discovery Sport TD4 SE,2019,61643.84,21000,Diesel,Distribuidora,Automatico,1º dono,12.83,1999.0,148.31,7.0,Land
Mercedes-Benz S-Class S 350 CDI,2017,82191.78,37000,Diesel,Distribuidora,Automatico,1º dono,13.5,2987.0,254.79,5.0,Mercedes-Benz
BMW 5 Series 520d Sport Line,2018,51917.81,29500,Diesel,Distribuidora,Automatico,1º dono,22.48,1995.0,187.74,5.0,BMW
BMW X4 M Sport X xDrive20d,2019,79452.05,7500,Diesel,Distribuidora,Automatico,1º dono,16.78,1995.0,190.0,5.0,BMW
Skoda Superb LK 1.8 TSI AT,2018,25547.93,50000,Gasolina,Distribuidora,Automatico,1º dono,14.67,1798.0,177.46,5.0,Skoda
Mercedes-Benz E-Class E250 Edition E,2016,36986.3,35000,Diesel,Distribuidora,Automatico,1º dono,15.0,2143.0,204.0,5.0,Mercedes-Benz
MG Hector Sharp AT BSIV,2019,23972.6,19000,Gasolina,Distribuidora,Automatico,1º dono,13.96,1451.0,141.0,5.0,MG
Honda City i-VTEC CVT VX,2017,10890.41,41000,Gasolina,Distribuidora,Automatico,1º dono,18.0,1497.0,117.6,5.0,Honda
